text,font_size,bold,italic,alignment,word_count,char_count,uppercase_ratio,starts_with_number,starts_with_chapter,starts_with_figure,starts_with_table,has_citation,position_ratio,label
CHAPTER 6: DESIGN PATTERNS FOR DOCUMENT OBJECT MODEL MANIPULATION,16.0,1,0,1,9,65,0.846,0,1,0,0,0,0.5953,CHAPTER_HEADING
CHAPTER 6: DESIGN PATTERNS FOR DOCUMENT OBJECT MODEL MANIPULATION,14.0,1,0,0,9,65,0.846,0,1,0,0,0,0.5622,CHAPTER_HEADING
CHAPTER 6: DESIGN PATTERNS FOR DOCUMENT OBJECT MODEL MANIPULATION,16.0,1,0,1,9,65,0.846,0,1,0,0,0,0.3745,CHAPTER_HEADING
"Chapter 7: Evaluation Frameworks, Precision-Recall Metrics and Validation",16.0,1,0,1,8,73,0.096,0,1,0,0,0,0.8826,CHAPTER_HEADING
"Chapter 7: Evaluation Frameworks, Precision-Recall Metrics and Validation",14.0,1,0,1,8,73,0.096,0,1,0,0,0,0.6208,CHAPTER_HEADING
"Chapter 7: Evaluation Frameworks, Precision-Recall Metrics and Validation",15.0,1,0,0,8,73,0.096,0,1,0,0,0,0.4928,CHAPTER_HEADING
Chapter 8: Robust Error Handling and Fault Tolerant Data Pipelines,14.0,1,0,0,10,66,0.121,0,1,0,0,0,0.3736,CHAPTER_HEADING
Chapter 8: Robust Error Handling and Fault Tolerant Data Pipelines,15.0,1,0,1,10,66,0.121,0,1,0,0,0,0.0896,CHAPTER_HEADING
Chapter 8: Robust Error Handling and Fault Tolerant Data Pipelines,14.0,1,0,0,10,66,0.121,0,1,0,0,0,0.8439,CHAPTER_HEADING
"Chapter IX: Concurrency, Memory Profiling and Latency Optimization",14.0,1,0,1,8,66,0.121,0,1,0,0,0,0.1148,CHAPTER_HEADING
"Chapter IX: Concurrency, Memory Profiling and Latency Optimization",16.0,1,0,0,8,66,0.121,0,1,0,0,0,0.0713,CHAPTER_HEADING
"Chapter IX: Concurrency, Memory Profiling and Latency Optimization",15.0,1,0,0,8,66,0.121,0,1,0,0,0,0.5244,CHAPTER_HEADING
Chapter 10: Comparative Analysis and Production Deployment Case Studies,16.0,1,0,0,9,71,0.099,0,1,0,0,0,0.0761,CHAPTER_HEADING
Chapter 10: Comparative Analysis and Production Deployment Case Studies,16.0,1,0,0,9,71,0.099,0,1,0,0,0,0.8601,CHAPTER_HEADING
Chapter 10: Comparative Analysis and Production Deployment Case Studies,18.0,1,0,0,9,71,0.099,0,1,0,0,0,0.3214,CHAPTER_HEADING
Chapter 11: Real-World Case Studies in Academic Publishing Automation,15.0,1,0,0,9,69,0.116,0,1,0,0,0,0.4612,CHAPTER_HEADING
Chapter 11: Real-World Case Studies in Academic Publishing Automation,15.0,1,0,0,9,69,0.116,0,1,0,0,0,0.0854,CHAPTER_HEADING
Chapter 11: Real-World Case Studies in Academic Publishing Automation,18.0,1,0,0,9,69,0.116,0,1,0,0,0,0.658,CHAPTER_HEADING
Chapter 12: Future Directions and Non-Generative Machine Learning Frontiers,18.0,1,0,1,9,75,0.107,0,1,0,0,0,0.869,CHAPTER_HEADING
Chapter 12: Future Directions and Non-Generative Machine Learning Frontiers,15.0,1,0,0,9,75,0.107,0,1,0,0,0,0.8482,CHAPTER_HEADING
Chapter 12: Future Directions and Non-Generative Machine Learning Frontiers,16.0,1,0,1,9,75,0.107,0,1,0,0,0,0.4945,CHAPTER_HEADING
1.1 Historical Background and Early Computer Typography,14.0,0,0,0,7,55,0.091,1,0,0,0,0,0.4936,SUBHEADING
1.1 Historical Background and Early Computer Typography,14.0,1,1,0,7,55,0.091,1,0,0,0,0,0.7828,SUBHEADING
1.1 Historical Background and Early Computer Typography,12.0,1,0,0,7,55,0.091,1,0,0,0,0,0.2546,SUBHEADING
1.2 Motivation and Problem Statement for Autonomous Formatter,12.0,0,0,0,8,61,0.082,1,0,0,0,0,0.3418,SUBHEADING
1.2 Motivation and Problem Statement for Autonomous Formatter,14.0,1,1,0,8,61,0.082,1,0,0,0,0,0.3497,SUBHEADING
1.2 Motivation and Problem Statement for Autonomous Formatter,13.0,1,1,0,8,61,0.082,1,0,0,0,0,0.5913,SUBHEADING
"2.1 Vector Spaces, Norms, and Orthogonal Projections",13.0,1,0,0,7,52,0.096,1,0,0,0,0,0.7712,SUBHEADING
"2.1 Vector Spaces, Norms, and Orthogonal Projections",14.0,1,1,0,7,52,0.096,1,0,0,0,0,0.1895,SUBHEADING
"2.1 Vector Spaces, Norms, and Orthogonal Projections",12.0,0,1,0,7,52,0.096,1,0,0,0,0,0.187,SUBHEADING
2.2 Singular Value Decomposition and Principal Component Analysis,12.0,1,0,0,8,65,0.092,1,0,0,0,0,0.5125,SUBHEADING
2.2 Singular Value Decomposition and Principal Component Analysis,14.0,1,0,0,8,65,0.092,1,0,0,0,0,0.8534,SUBHEADING
2.2 Singular Value Decomposition and Principal Component Analysis,13.0,1,1,0,8,65,0.092,1,0,0,0,0,0.7743,SUBHEADING
3.1 Hypothesis Testing and Confidence Interval Formulations,14.0,1,1,0,7,59,0.085,1,0,0,0,0,0.209,SUBHEADING
3.1 Hypothesis Testing and Confidence Interval Formulations,13.0,1,0,0,7,59,0.085,1,0,0,0,0,0.3671,SUBHEADING
3.1 Hypothesis Testing and Confidence Interval Formulations,14.0,1,0,0,7,59,0.085,1,0,0,0,0,0.4817,SUBHEADING
3.2 The Asymptotic Properties of Estimators in Finite Samples,13.0,1,0,0,9,61,0.098,1,0,0,0,0,0.5341,SUBHEADING
3.2 The Asymptotic Properties of Estimators in Finite Samples,14.0,0,1,0,9,61,0.098,1,0,0,0,0,0.4934,SUBHEADING
3.2 The Asymptotic Properties of Estimators in Finite Samples,14.0,1,1,0,9,61,0.098,1,0,0,0,0,0.7637,SUBHEADING
"4.1 Tokenization, Morphological Analysis, and Punctuation Ratios",14.0,0,0,0,7,64,0.078,1,0,0,0,0,0.4248,SUBHEADING
"4.1 Tokenization, Morphological Analysis, and Punctuation Ratios",13.0,0,0,0,7,64,0.078,1,0,0,0,0,0.6316,SUBHEADING
"4.1 Tokenization, Morphological Analysis, and Punctuation Ratios",14.0,1,1,0,7,64,0.078,1,0,0,0,0,0.6555,SUBHEADING
4.2 Typographic Feature Engineering in OpenXML Specifications,14.0,0,0,0,7,61,0.131,1,0,0,0,0,0.7585,SUBHEADING
4.2 Typographic Feature Engineering in OpenXML Specifications,14.0,1,1,0,7,61,0.131,1,0,0,0,0,0.4022,SUBHEADING
4.2 Typographic Feature Engineering in OpenXML Specifications,14.0,0,1,0,7,61,0.131,1,0,0,0,0,0.2888,SUBHEADING
5.1 Separation of Concerns in Pipeline Orchestration,14.0,1,0,0,7,52,0.077,1,0,0,0,0,0.6221,SUBHEADING
5.1 Separation of Concerns in Pipeline Orchestration,13.0,1,0,0,7,52,0.077,1,0,0,0,0,0.3713,SUBHEADING
5.1 Separation of Concerns in Pipeline Orchestration,13.0,1,1,0,7,52,0.077,1,0,0,0,0,0.436,SUBHEADING
5.2 Memory Efficient Streaming for Ultra-Large Word Manuscripts,14.0,0,0,0,8,63,0.111,1,0,0,0,0,0.3878,SUBHEADING
5.2 Memory Efficient Streaming for Ultra-Large Word Manuscripts,13.0,0,1,0,8,63,0.111,1,0,0,0,0,0.8219,SUBHEADING
5.2 Memory Efficient Streaming for Ultra-Large Word Manuscripts,13.0,0,0,0,8,63,0.111,1,0,0,0,0,0.2929,SUBHEADING
6.1 Section Break Semantics and Paragraph Level Inheritance,12.0,1,1,0,8,59,0.102,1,0,0,0,0,0.8465,SUBHEADING
6.1 Section Break Semantics and Paragraph Level Inheritance,13.0,1,0,0,8,59,0.102,1,0,0,0,0,0.8719,SUBHEADING
6.1 Section Break Semantics and Paragraph Level Inheritance,12.0,1,1,0,8,59,0.102,1,0,0,0,0,0.8664,SUBHEADING
7.1 Confusion Matrix Construction and Stratified Cross-Validation,12.0,1,0,0,7,65,0.092,1,0,0,0,0,0.3352,SUBHEADING
7.1 Confusion Matrix Construction and Stratified Cross-Validation,12.0,1,0,0,7,65,0.092,1,0,0,0,0,0.7114,SUBHEADING
7.1 Confusion Matrix Construction and Stratified Cross-Validation,14.0,1,1,0,7,65,0.092,1,0,0,0,0,0.2654,SUBHEADING
"8.1 Handling Malformed XML, Empty Paragraphs and Orphan Runs",14.0,0,1,0,9,60,0.15,1,0,0,0,0,0.4858,SUBHEADING
"8.1 Handling Malformed XML, Empty Paragraphs and Orphan Runs",14.0,1,1,0,9,60,0.15,1,0,0,0,0,0.7231,SUBHEADING
"8.1 Handling Malformed XML, Empty Paragraphs and Orphan Runs",14.0,1,0,0,9,60,0.15,1,0,0,0,0,0.1612,SUBHEADING
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",12.0,0,0,3,47,363,0.008,0,0,0,0,0,0.1389,BODY
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",12.0,0,0,3,47,363,0.008,0,0,0,0,0,0.3446,BODY
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",11.5,0,0,3,47,363,0.008,0,0,0,0,0,0.8474,BODY
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",11.5,0,0,3,47,363,0.008,0,0,0,0,0,0.9203,BODY
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",12.0,0,0,3,47,363,0.008,0,0,0,0,0,0.5824,BODY
"Document processing in academic publishing has historically required intensive human intervention. Typesetters must manually inspect every paragraph, adjust font sizes, apply margins, and verify citation indices across hundreds of pages. In this research monograph, we demonstrate how offline statistical algorithms can automate this workflow with high precision.",12.0,0,0,0,47,363,0.008,0,0,0,0,0,0.7978,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",10.5,0,0,3,47,361,0.008,0,0,0,0,0,0.1096,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",12.0,0,0,0,47,361,0.008,0,0,0,0,0,0.2821,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",11.0,0,0,0,47,361,0.008,0,0,0,0,0,0.2853,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",11.5,0,0,0,47,361,0.008,0,0,0,0,0,0.6412,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",10.5,0,0,0,47,361,0.008,0,0,0,0,0,0.2232,BODY
"The primary challenge in automated manuscript structuring arises from the ambiguity of formatting styles. An author may format chapter headings using manual bolding, larger font sizes, all-caps styling, or simple paragraph spacing. Our hybrid approach reconciles these variations by combining structural pattern recognition with machine learning classification.",11.0,0,0,3,47,361,0.008,0,0,0,0,0,0.4664,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",10.5,0,0,0,50,381,0.018,0,0,0,0,0,0.7515,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",10.5,0,0,0,50,381,0.018,0,0,0,0,0,0.1225,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",11.5,0,0,3,50,381,0.018,0,0,0,0,0,0.8518,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",11.5,0,0,0,50,381,0.018,0,0,0,0,0,0.2861,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",12.0,0,0,0,50,381,0.018,0,0,0,0,0,0.113,BODY
"Let X be an n-dimensional feature vector representing a paragraph extracted from the manuscript DOM. The feature space incorporates lexical statistics such as word count and uppercase ratios, alongside layout coordinates like alignment, spacing, and font metrics. Through regularized decision forests, the classifier identifies functional roles without accessing external networks.",10.5,0,0,3,50,381,0.018,0,0,0,0,0,0.4777,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",10.5,0,0,0,40,336,0.009,0,0,0,0,0,0.2997,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",11.5,0,0,3,40,336,0.009,0,0,0,0,0,0.7276,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",11.0,0,0,0,40,336,0.009,0,0,0,0,0,0.7835,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",10.5,0,0,0,40,336,0.009,0,0,0,0,0,0.6444,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",11.0,0,0,3,40,336,0.009,0,0,0,0,0,0.2762,BODY
"In traditional desktop publishing software, document properties are tightly coupled to visual presentation rather than semantic hierarchy. This creates severe inconsistencies when documents are compiled from multiple contributing authors or conference submissions. By enforcing strict publication specifications, uniformity is restored.",11.5,0,0,3,40,336,0.009,0,0,0,0,0,0.5841,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",12.0,0,0,3,32,286,0.007,0,0,0,0,0,0.8842,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",10.5,0,0,3,32,286,0.007,0,0,0,0,0,0.7567,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",11.0,0,0,3,32,286,0.007,0,0,0,0,0,0.4287,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",11.0,0,0,0,32,286,0.007,0,0,0,0,0,0.8375,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",11.0,0,0,0,32,286,0.007,0,0,0,0,0,0.7853,BODY
"Furthermore, memory footprint remains a critical consideration when formatting voluminous 400+ page manuscripts. Inefficient implementations that duplicate entire document trees in memory inevitably cause thrashing or out-of-memory crashes on resource-constrained consumer workstations.",12.0,0,0,3,32,286,0.007,0,0,0,0,0,0.87,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,11.5,0,0,0,40,287,0.017,0,0,0,0,0,0.8652,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,10.5,0,0,0,40,287,0.017,0,0,0,0,0,0.3857,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,11.0,0,0,3,40,287,0.017,0,0,0,0,0,0.7877,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,11.5,0,0,0,40,287,0.017,0,0,0,0,0,0.694,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,11.0,0,0,3,40,287,0.017,0,0,0,0,0,0.0989,BODY
The experimental results presented in Table 4 indicate that the hybrid rule-ML engine maintains consistent throughput of over 500 paragraphs per second. Error rates are minimized by applying context-aware fallback rules whenever the model confidence drops below the acceptable threshold.,10.5,0,0,0,40,287,0.017,0,0,0,0,0,0.8315,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",10.5,0,0,3,33,248,0.008,0,0,0,0,0,0.6146,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",11.0,0,0,0,33,248,0.008,0,0,0,0,0,0.3392,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",10.5,0,0,0,33,248,0.008,0,0,0,0,0,0.3824,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",11.5,0,0,0,33,248,0.008,0,0,0,0,0,0.1145,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",11.5,0,0,3,33,248,0.008,0,0,0,0,0,0.4669,BODY
"To ensure complete confidentiality for unpublished research and proprietary manuscripts, all computations execute strictly within the local offline environment. No network sockets are opened, and no telemetry data is transmitted to cloud endpoints.",11.0,0,0,3,33,248,0.008,0,0,0,0,0,0.726,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",12.0,0,0,3,34,258,0.023,0,0,0,0,0,0.1754,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",10.5,0,0,0,34,258,0.023,0,0,0,0,0,0.7169,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",11.5,0,0,0,34,258,0.023,0,0,0,0,0,0.4769,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",11.0,0,0,0,34,258,0.023,0,0,0,0,0,0.2412,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",10.5,0,0,0,34,258,0.023,0,0,0,0,0,0.7672,BODY
"The formatting engine operates directly on the underlying OpenXML elements, modifying style properties without altering a single character of the author's prose. This absolute preservation guarantee is vital for academic integrity and publication compliance.",11.5,0,0,3,34,258,0.023,0,0,0,0,0,0.936,BODY
Figure 1: High-level architectural pipeline of the IntelliFormat offline system.,9.0,1,0,1,10,80,0.05,0,0,1,0,0,0.8135,CAPTION
Figure 1: High-level architectural pipeline of the IntelliFormat offline system.,10.5,1,1,1,10,80,0.05,0,0,1,0,0,0.3364,CAPTION
Figure 1: High-level architectural pipeline of the IntelliFormat offline system.,9.0,1,0,1,10,80,0.05,0,0,1,0,0,0.3352,CAPTION
Figure 2: Confusion matrix showing multi-class classification accuracy across 9 structural categories.,10.0,1,0,0,12,102,0.02,0,0,1,0,0,0.2211,CAPTION
Figure 2: Confusion matrix showing multi-class classification accuracy across 9 structural categories.,10.0,0,1,0,12,102,0.02,0,0,1,0,0,0.3977,CAPTION
Figure 2: Confusion matrix showing multi-class classification accuracy across 9 structural categories.,9.0,0,0,0,12,102,0.02,0,0,1,0,0,0.4432,CAPTION
Fig. 3. Memory consumption curves during continuous processing of a 400-page manuscript.,9.0,1,0,1,12,88,0.023,0,0,1,0,0,0.6475,CAPTION
Fig. 3. Memory consumption curves during continuous processing of a 400-page manuscript.,9.0,1,1,1,12,88,0.023,0,0,1,0,0,0.1531,CAPTION
Fig. 3. Memory consumption curves during continuous processing of a 400-page manuscript.,10.5,0,1,1,12,88,0.023,0,0,1,0,0,0.3485,CAPTION
Figure 4: Comparison of raw unformatted manuscript layout against standardized publication layout.,10.0,0,0,0,12,98,0.02,0,0,1,0,0,0.4731,CAPTION
